"Nombre del portal";"Enlace al portal";"Organismo de la iniciativa";"Geoposition";"Nivel de administración";"Grado de reutilización";"Tipo de buscador";"Categoría";"Estrategia apertura de datos";"Descarga del catálogo";"Web Service";"API Ckan";"Restful API";"Punto SPARQL";"Licencia";"Canal de solicitud";"Catálogo de aplicaciones";"Recursos formativos";"Colabora con datos.gob.es"
"Open Data Badalona";"http://opendata.badalona.cat/od/";"Ayuntamiento de Badalona";"41.450140800000,2.247405290000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"Cultura y Ocio, Demografía, Hacienda, Medio Ambiente, Sector Público, Seguridad, Sociedad y Bienestar, Transporte, Urbanismo e Infraestructuras";"";"";"";"";"";"";"Creative Commons Reconocimiento (CC BY), Creative Commons Reconocimiento-SinObraDerivada (CC BY-ND)";"";"";"http://opendata.badalona.cat/od/que-es-open-data/";"No"
"Open Data Terrassa";"https://opendata.terrassa.cat/es/browse";"Ayuntamiento de Terrassa";"41.563083900000,2.010112290000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"Ciencia y tecnología, Cultura y Ocio, Demografía, Economía, Educación, Legislación y Justicia, Medio Ambiente, Salud, Sector Público, Sociedad y Bienestar, Transporte, Urbanismo e Infraestructuras, Vivienda";"";"";"";"";"";"";"Licencia Abierta, Creative Commons Reconocimiento (CC BY), Creative Commons Reconocimiento-SinObraDerivada (CC BY-ND)";"https://aoberta.terrassa.cat/tramits/ferTramit.jsp?id=5621";"";"https://opendata.terrassa.cat/es/dataset/Qu-s-n-les-dades-obertes-/jc97-pqcx";"No"
"Open Data Sant Boi";"http://observatori.santboi.cat/";"Ayuntamiento de Sant Boi de Llobregat";"41.347434700000,2.043299800000";"Administración Local";"(***) Formatos no propietarios";"Sencillo";"Ciencia y tecnología, Comercio, Cultura y Ocio, Demografía, Deporte, Economía, Empleo, Sociedad y Bienestar, Transporte, Urbanismo e Infraestructuras";"";"";"";"";"";"";"Creative Commons Reconocimiento (CC BY)";"";"";"";"No"
"Portal de dades obertes de Cornellá";"http://opendata.cornella.cat/cornella/ca";"Ayuntamiento de Cornellá de Llobregat";"41.355506700000,2.070769890000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"Cultura y Ocio, Demografía, Deporte, Educación, Medio Ambiente, Sector Público, Sociedad y Bienestar, Transporte, Urbanismo e Infraestructuras";"";"";"";"";"";"";"Creative Commons Reconocimiento (CC BY), Creative Commons Reconocimiento-SinObraDerivada (CC BY-ND)";"http://www.cornella.cat/ca/Contactar.asp";"";"http://opendata.cornella.cat/cornella/ca/what-is-open-data";"No"
"Portal de dades obertes El Prat de Llobregat";"https://seu-e.cat/web/elpratdellobregat/dades-obertes";"Ayuntamiento del Prat de Llobregat";"41.330741200000,2.093156090000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"Cultura y Ocio, Demografía, Economía, Sector Público, Sociedad y Bienestar, Transporte, Urbanismo e Infraestructuras";"";"";"";"";"";"";"Creative Commons Reconocimiento (CC BY), Creative Commons Reconocimiento-SinObraDerivada (CC BY-ND)";"https://seu.elprat.cat/siac/FormulariosAnonimos/ShowFormAnonimo.aspx?idProc=170&idnct=2&x=H1PUPwpQmqH6nj/Ba4+EPQ";"";"";"No"
"Portal de dades obertes Sant Feliu de Llobregat";"http://opendata.santfeliu.cat/santfeliu/es";"Ayuntamiento de Sant Feliu de Llobregat";"41.382648100000,2.045141800000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"Cultura y Ocio, Demografía, Economía, Medio Ambiente, Sector Público, Sociedad y Bienestar, Transporte, Urbanismo e Infraestructuras";"";"";"";"";"";"";"Creative Commons Zero (CC0)";"https://www.santfeliu.cat/go.faces?xmid=11824&workflow=qis";"";"http://opendata.santfeliu.cat/santfeliu/es/what-is-open-data";"No"
"Portal de dades obertes Viladecans";"https://www.seu-e.cat/web/viladecans/dades-obertes";"Ayuntamiento de Viladecans";"41.316032200000,2.020230590000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"Cultura y Ocio, Demografía, Sector Público, Sociedad y Bienestar, Transporte, Urbanismo e Infraestructuras";"";"";"";"";"";"";"Creative Commons Zero (CC0)";"";"";"";"No"
"Dades Obertes Lleida";"http://www.paeria.cat/opendata/ca/opendata.asp";"Ayuntamiento de Lleida";"41.614713200000,0.626693190000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"Ciencia y tecnología, Comercio, Cultura y Ocio, Demografía, Deporte, Educación, Medio Ambiente, Salud, Sector Público, Sociedad y Bienestar, Transporte, Urbanismo e Infraestructuras";"";"";"";"";"";"";"Creative Commons Zero (CC0)";"https://www.paeria.es/tramits/quadern/gestions.asp";"http://cartolleida.paeria.es/lleidaoberta/exemples_aplicacions.aspx";"";"No"
"Dades obertes a la Universitat Jaume I";"http://opendata.uji.es/";"Universitat Jaume I de Castelló";"39.994006800000,-0.069994199000";"Universidades";"(****) Datos RDF";"";"Educación, Sector Público";"";"";"";"";"";"";"Licencia de uso no comercial";"";"";"";"No"
"Portal de Datos Abiertos de la Universidad de Alicante";"http://datos.ua.es/";"Universidad de Alicante";"38.398819000000,-0.523867500000";"Universidades";"(***) Formatos no propietarios";"Avanzado";"Economía, Educación, Medio Ambiente, Urbanismo e Infraestructuras";"";"";"";"";"";"";"Creative Commons Zero (CC0)";"http://cvnet.cpd.ua.es/cuestionariosNet/preguntas.aspx?idcuestionario=4611&idioma=es";"http://datos.ua.es/es/busqueda-de-aplicaciones.html";"http://datos.ua.es/es/acercade/que-es-open-data.html";"No"
"Portal de Transparencia y Participación ciudadana de Extremadura";"http://gobiernoabierto.gobex.es/";"Gobierno de Extremadura";"38.915775800000,-6.346218090000";"Administración Autonómica";"(***) Formatos no propietarios";"Avanzado";"Cultura y Ocio, Economía, Educación, Empleo, Energía, Medio Ambiente, Medio Rural, Salud, Sector Público, Transporte, Vivienda";"";"http://gobiernoabierto.gobex.es/dcat/";"";"http://ckan.gobex.es/api/3";"";"";"";"http://gobiernoabierto.juntaex.es/transparencia/derecho-de-acceso-a-la-informacion-publica/";"";"";"No"
"Open Data Cáceres";"http://opendata.ayto-caceres.es/";"Ayuntamiento de Cáceres";"39.474522600000,-6.371812690000";"Administración Local";"(*****) Datos enlazados";"Avanzado";"Cultura y Ocio, Energía, Medio Ambiente, Salud, Sector Público, Transporte, Urbanismo e Infraestructuras";"";"";"";"http://opendata.ayto-caceres.es/api";"";"http://opendata.ayto-caceres.es/consulta-sparql";"Creative Commons Zero (CC0)";"";"http://opendata.ayto-caceres.es/aplicaciones";"";"Sí"
"Portal Open Data de la Xunta de Galicia";"http://abertos.xunta.es/portada";"Xunta de Galicia";"42.890016700000,-8.535102100000";"Administración Autonómica";"(****) Datos RDF";"Avanzado";"Ciencia y tecnología, Cultura y Ocio, Deporte, Economía, Educación, Empleo, Medio Ambiente, Salud, Sector Público, Sociedad y Bienestar, Transporte, Urbanismo e Infraestructuras, Vivienda";"";"http://abertos.xunta.es/busca-de-datos.rdf";"";"";"";"";"Creative Commons Zero (CC0)";"http://abertos.xunta.es/as-tuas-propostas";"http://abertos.xunta.es/experiencias";"http://abertos.xunta.es/a-reutilizacion-de-datos";"Sí"
"Dato Abierto Rioja";"http://www.larioja.org/datoabierto";"Gobierno de La Rioja";"42.464093600000,-2.445166690000";"Administración Autonómica";"(***) Formatos no propietarios";"Avanzado";"Ciencia y tecnología, Demografía, Economía, Educación, Empleo, Salud, Urbanismo e Infraestructuras";"http://www.larioja.org/npRioja/default/defaultpage.jsp?idtab=771034";"http://ias1.larioja.org/opendata/datosRDF";"";"";"";"";"Creative Commons Reconocimiento (CC BY), Creative Commons Reconocimiento-NoComercial (CC BY-NC)";"http://www.larioja.org/npRioja/default/defaultpage.jsp?idtab=771042";"";"";"Sí"
"Portal de Datos Abiertos del Ayuntamiento de Madrid";"http://datos.madrid.es/portal/site/egob/";"Ayuntamiento de Madrid";"40.419434900000,-3.692828500000";"Administración Local";"(****) Datos RDF";"Avanzado";"Comercio, Cultura y Ocio, Demografía, Deporte, Economía, Educación, Empleo, Energía, Hacienda, Legislación y Justicia, Medio Ambiente, Salud, Sector Público, Sociedad y Bienestar, Transporte, Turismo, Urbanismo e Infraestructuras";"";"http://datos.madrid.es/egob/catalogo.rdf";"";"";"";"";"";"http://datos.madrid.es/portal/site/egob/menuitem.a297ac3413d14cbda0f4a0f484f1a5a0/?vgnextoid=6b0612b9ace9f310VgnVCM100000171f5a0aRCRD";"http://datos.madrid.es/portal/site/egob/menuitem.619dfa2990e56405bb8d69f6ecd08a0c/?vgnextoid=994612b9ace9f310VgnVCM100000171f5a0aRCRD";"http://datos.madrid.es/portal/site/egob/menuitem.d3089948cb18b1bb68d8a521ecd08a0c/?vgnextoid=d02804d4aab90410VgnVCM100000171f5a0aRCRD&vgnextchannel=e7a412b9ace9f310VgnVCM100000171f5a0aRCRD";"Sí"
"Open Data EMT";"http://opendata.emtmadrid.es/";"Empresa Municipal de Transportes de Madrid";"40.400163800000,-3.675077200000";"Administración Local";"(***) Formatos no propietarios";"";"Transporte";"";"";"http://opendata.emtmadrid.es/Servicios-web";"";"";"";"Licencia con sujeción a condiciones específicas";"http://opendata.emtmadrid.es/Contacto";"http://opendata.emtmadrid.es/Aplicaciones";"";"No"
"Espacio Datos Abiertos Ayuntamiento Alcobendas";"http://datos.alcobendas.org/";"Ayuntamiento de Alcobendas";"40.547194900000,-3.641022490000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"Comercio, Cultura y Ocio, Demografía, Economía, Educación, Empleo, Legislación y Justicia, Medio Ambiente, Sector Público, Turismo, Urbanismo e Infraestructuras";"";"";"";"http://datos.alcobendas.org/api";"";"";"Creative Commons Zero (CC0)";"http://datos.alcobendas.org/suggest";"";"";"Sí"
"Open Data Archivo de Arganda";"http://archivo.ayto-arganda.es/ElArchivo/Fondos/OpenData.aspx";"Ayuntamiento de Arganda del Rey";"40.301268600000,-3.437522290000";"Administración Local";"(*) Datos publicados";"Avanzado";"Ciencia y tecnología, Comercio, Cultura y Ocio, Educación, Industria, Legislación y Justicia, Medio Ambiente, Medio Rural, Salud, Sector Público, Sociedad y Bienestar, Urbanismo e Infraestructuras";"";"";"";"";"";"";"";"";"";"http://datos.alcobendas.org/presentacion/";"No"
"Catálogo de Datos Abiertos del Ayuntamiento de Lorca";"http://datos.lorca.es/";"Ayuntamiento de Lorca";"37.676480400000,-1.699804290000";"Administración Local";"(****) Datos RDF";"";"Cultura y Ocio, Demografía, Deporte, Empleo, Sector Público, Transporte, Turismo";"";"http://datos.lorca.es/catalogo/catalogo-conjunto-datos/";"";"";"";"";"";"http://datos.lorca.es/sugerencias/";"http://datos.lorca.es/aplicaciones/";"";"Sí"
"Portal de Gobierno Abierto de la Comunidad Foral de Navarra";"http://www.gobiernoabierto.navarra.es/es/open-data";"Gobierno de Navarra";"42.815679700000,-1.641820890000";"Administración Autonómica";"(***) Formatos no propietarios";"Avanzado";"Cultura y Ocio, Deporte, Economía, Educación, Empleo, Legislación y Justicia, Medio Ambiente, Salud, Sector Público, Sociedad y Bienestar, Transporte, Turismo, Urbanismo e Infraestructuras, Vivienda";"";"";"";"";"";"";"Creative Commons Zero (CC0)";"https://www.gobiernoabierto.navarra.es/es/open-data/datos/solicitud-de-datasets";"https://www.gobiernoabierto.navarra.es/es/open-data/reutilizacion/aplicaciones-con-datos-abiertos";"https://www.gobiernoabierto.navarra.es/es/open-data/que-es-open-data";"No"
"Portal Open Data Ayuntamiento de Pamplona";"http://www.pamplona.es/verpagina.asp?idpag=1519";"Ayuntamiento de Pamplona";"42.818007800000,-1.643749690000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"Comercio, Cultura y Ocio, Demografía, Economía, Salud, Sector Público, Transporte, Urbanismo e Infraestructuras";"";"";"";"";"";"";"Creative Commons Zero (CC0)";"http://www.pamplona.net/srv/OpenData/verPagina.aspx?idioma=1&nifEntidad=P3120100G&paginaOpenData=3";"";"";"No"
"Open Data Euskadi";"http://opendata.euskadi.eus";"Gobierno Vasco";"42.858885000000,-2.687323390000";"Administración Autonómica";"(****) Datos RDF";"Avanzado";"Ciencia y tecnología, Comercio, Cultura y Ocio, Demografía, Economía, Educación, Empleo, Energía, Industria, Legislación y Justicia, Medio Ambiente, Medio Rural, Salud, Sector Público, Seguridad, Sociedad y Bienestar, Transporte, Turismo, Urbanismo e Infraestructuras, Vivienda";"";"";"";"";"";"http://api.euskadi.eus/sparql/";"Creative Commons Reconocimiento (CC BY)";"http://opendata.euskadi.eus/contenidos-generales/-/contacta-a-traves-de-internet-telefono-y-presencialmente/";"http://opendata.euskadi.net/w79-ejemplos/es/contenidos/informacion/ideas_ejemplos_opendata/es_apps/ideas_ejemplos_app.html";"http://opendata.euskadi.eus/como-utilizar-datos/";"No"
"Open Data Ayuntamiento de Güeñes";"http://www.guenes.net/es-ES/Ayuntamiento/OpenData/Paginas/default.aspx";"Ayuntamiento de Güeñes";"43.210365300000,-3.095204200000";"Administración Local";"(*) Datos publicados";"";"Cultura y Ocio, Empleo, Medio Ambiente, Sector Público, Urbanismo e Infraestructuras";"";"";"";"";"";"";"Licencia con sujeción a condiciones específicas, Licencia de uso no comercial, Licencia tipo Real Decreto 1495/2011";"";"";"";"No"
"Catálogo de Datos Diputación de Málaga";"http://datosabiertos.malaga.es/";"Diputación de Málaga";"36.689028400000,-4.443865500000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"Ciencia y tecnología, Comercio, Cultura y Ocio, Economía, Empleo, Medio Ambiente, Sector Público, Sociedad y Bienestar, Transporte, Turismo, Urbanismo e Infraestructuras";"";"";"";"http://apidatosabiertos.malaga.es/api";"";"";"Creative Commons Zero (CC0)";"http://www.malaga.es/gobiernoabierto/participa/solicitudes/";"";"";"No"
"Repositorio Digital de la Universidad de Zaragoza";"http://zaguan.unizar.es/collection/OpenData?ln=es&as=1";"Universidad de Zaragoza";"41.642161000000,-0.895852690000";"Universidades";"(*) Datos publicados";"";"Energía";"";"";"";"";"";"";"Open Data Commons Attribution License (ODC-By)";"";"";"";"No"
"Portal Datos Abiertos AP Melilla";"https://sede.puertodemelilla.gob.es:444/portal/index.php/datos-abiertos.html";"Autoridad Portuaria de Melilla";"35.291268100000,-2.938412690000";"Administración del Estado";"(**) Datos estructurados";"";"Comercio, Sector Público, Transporte";"https://sede.puertodemelilla.gob.es:444/portal/images/documentos/datos-gob/plan_risp_2014.pdf";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"";"";"";"Sí"
"Repositorio de Datos Públicos de Azkoitia";"http://opendataazkoitia.gobernuirekia.net/";"Ayuntamiento de Azkoitia";"43.177480500000,-2.312309000000";"Administración Local";"(****) Datos RDF";"Avanzado";"Cultura y Ocio, Economía, Empleo, Medio Ambiente, Sector Público, Turismo";"";"";"";"";"";"";"Creative Commons Reconocimiento-NoComercial (CC BY-NC)";"http://opendataazkoitia.gobernuirekia.net/eu/elkarlana-sarrera";"http://opendataazkoitia.gobernuirekia.eus/eu/aplikazioen-erakusleihoa";"";"No"
"Gavà Obert Open Data";"https://gavaobert.gavaciutat.cat/";"Ayuntamiento de Gavà";"41.303691800000,1.998814300000";"Administración Local";"(****) Datos RDF";"Avanzado";"Demografía, Deporte, Economía, Empleo, Sector Público, Seguridad, Sociedad y Bienestar";"";"";"";"";"";"";"";"";"";"";"No"
"DKH-Deusto Knowledge Hub";"http://dkh.deusto.es";"Universidad de Deusto ";"43.270504500000,-2.937786500000";"Universidades";"(*) Datos publicados";"Avanzado";"Educación, Sector Público";"";"";"";"";"";"";"Licencia previa solicitud";"";"";"";"No"
"Portal Datos Abiertos MSSSI";"https://sede.msssi.gob.es/datosabiertos/home.htm";"Ministerio de Sanidad, Servicios Sociales e Igualdad";"40.474593400000,-3.690808100000";"Administración del Estado";"(***) Formatos no propietarios";"";"Salud, Sociedad y Bienestar";"https://sede.msssi.gob.es/datosabiertos/docs/PlanRISP_SUBSECRETARIA_julio_2014.pdf";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"https://sede.msssi.gob.es/datosabiertos/solicitud.htm";"";"";"No"
"Portal Datos Abiertos AEPD";"https://sedeagpd.gob.es/sede-electronica-web/vistas/formDatosAbiertos/seccionDatosAbiertos.jsf";"Agencia Española de Protección de Datos";"40.423861200000,-3.687463100000";"Administración del Estado";"(*) Datos publicados";"";"Sector Público";"https://sedeagpd.gob.es/sede-electronica-web/resources/pdf/Plan_de_reutilizacion_AEPD.pdf";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"https://sedeagpd.gob.es/sede-electronica-web/vistas/formDatosAbiertos/seccionDatosAbiertosLegal.jsf";"";"";"No"
"Open Data del Principado de Asturias";"https://www.asturias.es/portal/site/webasturias/menuitem.7b2ff7592927f53571a70084ec12b2a0/?vgnextoid=2cab7cd61f918510VgnVCM100000ce212b0aRCRD&i18n.http.lang=es";"Gobierno del Principado de Asturias";"43.363441300000,-5.846728790000";"Administración Autonómica";"(***) Formatos no propietarios";"Avanzado";"Ciencia y tecnología, Comercio, Cultura y Ocio, Deporte, Economía, Educación, Empleo, Energía, Industria, Legislación y Justicia, Medio Ambiente, Medio Rural, Salud, Sector Público, Seguridad, Sociedad y Bienestar, Transporte, Turismo, Urbanismo e Infraestructuras, Vivienda";"";"";"";"";"";"";"Creative Commons Zero (CC0)";"";"";"";"No"
"Open Data del Gobierno de Canarias";"https://opendata.gobiernodecanarias.org/opendata/";"Gobierno de Canarias";"28.463629000000,-16.251846000000";"Administración Autonómica";"(***) Formatos no propietarios";"Avanzado";"Cultura y Ocio, Deporte, Economía, Educación, Empleo, Hacienda, Medio Ambiente, Medio Rural, Salud, Sector Público, Sociedad y Bienestar, Turismo";"http://opendata.gobiernodecanarias.org/opendata/aviso-legal/";"";"";"";"";"";"Creative Commons Zero (CC0)";"http://opendata.gobiernodecanarias.org/opendata/colabora/ideas/";"http://opendata.gobiernodecanarias.org/opendata/aplicaciones/";"http://opendata.gobiernodecanarias.org/opendata/datos-abiertos/que-es/";"Sí"
"Datos Abiertos Martos";"http://martos.es/index.php/nuevas-tecnologias/datos-abiertos2";"Ayuntamiento de Martos";"37.723259200000,-3.965382200000";"Administración Local";"(***) Formatos no propietarios";"";"Comercio, Urbanismo e Infraestructuras";"";"";"";"";"";"";"";"http://martos.es/index.php/inicio/contactarusuario";"";"";"No"
"Datos Abiertos de AEMET";"http://www.aemet.es/es/datos_abiertos/catalogo";"Agencia Estatal de Meteorología";"40.452207600000,-3.723727500000";"Administración del Estado";"(***) Formatos no propietarios";"";"Medio Ambiente";"http://www.aemet.es/documentos/es/datos_abiertos/AEMET_Plan_RISP.pdf";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"https://sede.aemet.gob.es/AEMET/es/GestionPeticiones/home";"";"";"No"
"Datos Abiertos Espaciales de Sevilla";"http://sig.urbanismosevilla.org/sevilla.art/datosabiertos/";"Gerencia de Urbanismo de Sevilla. Ayuntamiento de Sevilla.";"37.403449500000,-6.010645890000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"Medio Ambiente, Seguridad, Sociedad y Bienestar, Urbanismo e Infraestructuras";"";"";"http://services1.arcgis.com/hcmP7kr0Cx3AcTJk/arcgis/rest/services/";"";"";"";"Creative Commons Zero (CC0)";"";"";"";"No"
"Coruña Smart City Open Data";"https://smart.coruna.es/OpenData/COR/index.html";"Ayuntamiento de A Coruña";"43.371533900000,-8.395073400000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"";"";"https://smart.coruna.es/OpenData/api/atomicOpenDataCatalogExplorerService/public/catalog/dcatrdf?catalogUri=http://datos.coruna.es/opendata/catalogo";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"https://smart.coruna.es/OpenData/COR/index.html#contactLog/new/-";"https://smart.coruna.es/OpenData/COR/index.html#openApps/catalog";"";"No"
"Bilbao OPEN DATA";"http://www.bilbao.net/opendata";"Ayuntamiento de Bilbao";"43.264138400000,-2.923500000000";"Administración Local";"(****) Datos RDF";"Avanzado";"Ciencia y tecnología, Cultura y Ocio, Demografía, Economía, Medio Ambiente, Sector Público, Sociedad y Bienestar, Transporte, Turismo, Urbanismo e Infraestructuras";"http://www.bilbao.net/opendata/es/open-data";"http://www.bilbao.net/opendata/es/catalogo/rdf";"";"";"";"";"Creative Commons Reconocimiento (CC BY)";"http://www.bilbao.net/opendata/es/colabora";"http://www.bilbao.net/opendata/es/aplicaciones";"http://www.bilbao.net/opendata/es/open-data";"No"
"Portal Open Data. Las Palmas de Gran Canaria";"http://datosabiertos.laspalmasgc.es/";"Ayuntamiento de Las Palmas de Gran Canaria";"28.150579200000,-15.420277000000";"Administración Local";"(****) Datos RDF";"Avanzado";"Transporte, Seguridad, Salud, Cultura y Ocio, Demografía, Turismo";"";"http://datosabiertos.laspalmasgc.es/wp-content/themes/viavansi-ogov/proxyFile.php?url=http://datosabiertos.laspalmasgc.es/catalogo.rdf";"";"http://apidatosabiertos.laspalmasgc.es/api/3";"";"http://datosabiertos.laspalmasgc.es/sparql/";"Licencia tipo Real Decreto 1495/2011";"http://datosabiertos.laspalmasgc.es/collaborate/?type=news";"http://datosabiertos.laspalmasgc.es/applications/";"";"No"
"Camargo Datos Abiertos";"http://datos.aytocamargo.es/";"Ayuntamiento de Camargo";"43.424597500000,-3.854515600000";"Administración Local";"(****) Datos RDF";"Avanzado";"Cultura y Ocio, Deporte, Industria, Comercio, Salud, Urbanismo e Infraestructuras, Educación, Turismo, Transporte, Seguridad, Sector Público, Medio Ambiente, Sociedad y Bienestar";"";"";"";"";"";"http://datos.aytocamargo.es/consulta_sparql";"Licencia tipo Real Decreto 1495/2011";"http://www.aytocamargo.es/portal.do?IDM=9&NM=1";"http://datos.aytocamargo.es/aplicaciones";"";"No"
"Datos Abiertos Albacete";"http://www.albacete.es/es/webs-municipales/datos-abiertos";"Ayuntamiento de Albacete";"38.996531700000,-1.856778690000";"Administración Local";"(**) Datos estructurados";"";"Medio Ambiente, Turismo, Transporte, Cultura y Ocio";"";"";"";"";"";"";"Licencia previa solicitud";"";"http://www.albacete.es/es/webs-municipales/datos-abiertos/aplicaciones";"";"No"
"Dades obertes Diputació de Barcelona";"http://dadesobertes.diba.cat/";"Diputación de Barcelona";"41.395550300000,2.157393200000";"Administración Local";"(****) Datos RDF";"Avanzado";"Comercio, Cultura y Ocio, Deporte, Economía, Educación, Empleo, Legislación y Justicia, Medio Ambiente, Medio Rural, Sector Público, Sociedad y Bienestar, Turismo, Urbanismo e Infraestructuras, Vivienda";"";"https://dadesobertes.diba.cat/catalog.xml";"";"";"http://do.diba.cat/api/_CRIDA_";"";"Creative Commons Reconocimiento (CC BY), Creative Commons Reconocimiento-SinObraDerivada (CC BY-ND)";"http://dadesobertes.diba.cat/participa/proposa-dades";"http://dadesobertes.diba.cat/participa/projectes-opendata";"http://dadesobertes.diba.cat/dades-obertes/documentacio-tecnica";"Sí"
"Ayuntamiento de Valencia Gobierno Abierto";"gobiernoabierto.valencia.es";"Ayuntamiento de Valencia";"39.470726500000,-0.376366900000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"Ciencia y tecnología, Cultura y Ocio, Economía, Educación, Hacienda, Medio Ambiente, Salud, Sector Público, Seguridad, Sociedad y Bienestar, Transporte, Urbanismo e Infraestructuras, Vivienda, Comercio, Turismo";"";"";"";"";"";"";"Creative Commons Reconocimiento (CC BY)";"http://gobiernoabierto.valencia.es/es/collaborate/?type=news";"http://gobiernoabierto.valencia.es/es/collaborate/?type=app";"http://gobiernoabierto.valencia.es/es/collaborate/?type=idea";"No"
"Dades Obertes de la Generalitat Valenciana";"http://www.dadesobertes.gva.es/";"Gobierno de Valencia";"39.471776600000,-0.404104600000";"Administración Autonómica";"(***) Formatos no propietarios";"";"Medio Ambiente, Sociedad y Bienestar";"";"";"";"";"";"";"";"";"";"";"No"
"Open Data Rubí";"https://opendata.rubi.cat/es/";"Ayuntamiento de Rubí";"41.493638900000,2.031091990000";"Administración Local";"(****) Datos RDF";"Avanzado";"Medio Ambiente, Sociedad y Bienestar, Demografía, Seguridad, Sector Público";"";"";"";"";"";"";"Creative Commons Reconocimiento-SinObraDerivada (CC BY-ND), Creative Commons Reconocimiento-NoComercial (CC BY-NC), Creative Commons Zero (CC0)";"https://opendata.rubi.cat/es/proposa";"";"";"No"
"La Palma open data";"http://www.opendatalapalma.es/";"Cabildo Insular de La Palma";"28.681426200000,-17.765657000000";"Administración Local";"(***) Formatos no propietarios";"Sencillo";"Medio Ambiente, Urbanismo e Infraestructuras, Medio Rural, Turismo, Transporte, Cultura y Ocio, Sociedad y Bienestar";"";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"sig@cablapalma.es";"http://lapalma.maps.arcgis.com/home/";"";"No"
"Portal de dades Obertes de l'Ajuntament de Manresa";"http://opendata.manresa.cat/dataset";"Ayuntamiento de Manresa";"41.723050000000,1.826909000000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"Cultura y Ocio, Demografía, Medio Ambiente, Sector Público, Sociedad y Bienestar, Transporte, Urbanismo e Infraestructuras";"";"";"";"";"";"";"Creative Commons Reconocimiento (CC BY), Creative Commons Reconocimiento-SinObraDerivada (CC BY-ND)";"http://www.manresa.cat/web/article/2023-informacio-i-credits";"";"http://opendata.manresa.cat/manresa/es/what-is-open-data";"No"
"Open Data gunea. Azpeitia";"http://opendataazpeitia.gobernuirekia.net/";"Ayuntamiento de Azpeitia";"43.183900100000,-2.265907200000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"Sector Público, Empleo, Turismo";"";"";"";"";"";"";"Open Data Commons Attribution License (ODC-By)";"http://opendataazpeitia.gobernuirekia.net/es/elkarlana";"";"";"No"
"Open Data del Ayuntamiento de Donostia/ San Sebastián";"https://www.donostia.eus/datosabiertos/";"Ayuntamiento de San Sebastián";"43.321791400000,-1.985955000000";"Administración Local";"(***) Formatos no propietarios";"";"Cultura y Ocio, Deporte, Empleo, Medio Ambiente, Salud, Seguridad, Sociedad y Bienestar, Transporte, Urbanismo e Infraestructuras, Vivienda";"";"";"";"";"";"";"Creative Commons Reconocimiento (CC BY)";"https://www.donostia.eus/info/sugerencias.nsf/fwSugerencia?ReadForm&idioma=cas&CodCategoria=D0100&T=Open%20Data";"";"";"No"
"Datos Abiertos Diputación de Alicante";"http://datos.diputacionalicante.es/";"Diputación de Alicante";"38.345592000000,-0.492285000000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"Comercio, Cultura y Ocio, Demografía, Economía, Educación, Salud, Sector Público, Turismo";"";"";"";"";"";"";"Creative Commons Reconocimiento (CC BY)";"http://datos.diputacionalicante.es/?p=1069";"http://datos.diputacionalicante.es/?p=1067";"";"No"
"Datos Abiertos Puerto de Santa María";"https://www.elpuertodesantamaria.es/index.php?men_id=436&art_id=9262&PRY=";"Ayuntamiento del Puerto de Santa María";"36.600526000000,-6.225390600000";"Administración Local";"(***) Formatos no propietarios";"";"Sector Público";"";"";"";"";"";"";"";"";"";"";"No"
"Open Data Universidad de Granada";"http://opendata.ugr.es/";"Universidad de Granada";"37.186503000000,-3.599995000000";"Universidades";"(***) Formatos no propietarios";"Avanzado";"Educación, Legislación y Justicia, Sector Público";"";"";"";"http://opendata.ugr.es/api";"";"";"Open Data Commons Attribution License (ODC-By)";"";"";"";"No"
"Open Data Arona";"http://datos.arona.org/";"Ayuntamiento de Arona";"28.100514600000,-16.680642000000";"Administración Local";"(****) Datos RDF";"Avanzado";"Turismo, Sector Público, Cultura y Ocio, Comercio, Salud, Legislación y Justicia, Hacienda, Empleo, Educación, Deporte";"";"";"";"http://datos.arona.org/api";"";"http://lod.arona.es/sparql";"Open Data Commons Attribution License (ODC-By)";"";"";"";"No"
